old_category,new_category,prey_category,prey_group,prey_group_less,habitat,gelatinous,body_type,functional,three_groups
Pandalus_jordani_Zoea V,Pandalus_Zoea,Pandalidae_Larvae,Decapods,Decapods,Nearshore,Non-gelatinous,Crustacean,,Crustacean
Pandalus_jordani_Zoea_VI,Pandalus_Zoea,Pandalidae_Larvae,Decapods,Decapods,Nearshore,Non-gelatinous,Crustacean,,Crustacean
Pandalus_Zoea,Pandalus_Zoea,Pandalidae_Larvae,Decapods,Decapods,Nearshore,Non-gelatinous,Crustacean,,Crustacean
Paracalanus_parvus,Paracalanus_parvus,Paracalanus,Calanoids_Small,Calanoids_Small,Pelagic,Non-gelatinous,Crustacean,,Crustacean
Paraeuchaeta_elongata,Calanoida,Paraeuchaeta_elongata,Calanoids_Large,Calanoids_Large,Pelagic,Non-gelatinous,Crustacean,,Crustacean
Pellet_Detritus,Detritus,Detritus,Detritus,Other,Other,Non-gelatinous,NVM,,Other
Phaeophyceae,Detritus,Phaeophyceae,Detritus,Other,Other,Non-gelatinous,NVM,,Other
Pinnixa_Megalopa,Pinnotheridae_Larvae,Pinnotheridae_Larvae,Decapods,Decapods,Nearshore,Non-gelatinous,Crustacean,,Crustacean
Pinnotheres_Megalopa,Pinnotheridae_Larvae,Pinnotheridae_Larvae,Decapods,Decapods,Nearshore,Non-gelatinous,Crustacean,,Crustacean
Pinnotheres_taylori_Zoea_I,Pinnotheridae_Larvae,Pinnotheridae_Larvae,Decapods,Decapods,Nearshore,Non-gelatinous,Crustacean,,Crustacean
Pinnotheridae_Zoea,Pinnotheridae_Larvae,Pinnotheridae_Larvae,Decapods,Decapods,Nearshore,Non-gelatinous,Crustacean,,Crustacean
Pleocyemata_Larvae,Pleocyemata_Larvae,Decapoda_Larvae,Decapods,Decapods,Nearshore,Non-gelatinous,Crustacean,,Crustacean
Pleocyemata_Zoea,Pleocyemata_Larvae,Decapoda_Larvae,Decapods,Decapods,Nearshore,Non-gelatinous,Crustacean,,Crustacean
Pleuronectidae_Egg,Pleuronectidae_Egg,Fish_Egg,Eggs,Eggs,Nearshore,Non-gelatinous,Fish,,Other
Pleuronichthys_coenosus_Egg,Pleuronectidae_Egg,Fish_Egg,Eggs,Eggs,Nearshore,Non-gelatinous,Fish,,Other
Podon_leuckartii,Podon,Podon,Cladocerans,Other,Pelagic,Non-gelatinous,Crustacean,,Crustacean
Podon_polyphemoides,Podon,Podon,Cladocerans,Other,Pelagic,Non-gelatinous,Crustacean,,Crustacean
Podonidae,Podonidae,Evadne,Cladocerans,Other,Pelagic,Non-gelatinous,Crustacean,,Crustacean
Polychaeta_Nectochaete,Polychaeta_Nectochaete,Polychaeta,Polychaetes,Other,Nearshore,Non-gelatinous,NVM,,Other
Porcelain_Object,Objects,Objects,Detritus,Other,Nearshore,Non-gelatinous,NVM,,Other
Porcellanidae_Zoea,Porcellanidae_Zoea,Porcellanidae_Larvae,Decapods,Decapods,Nearshore,Non-gelatinous,Crustacean,,Crustacean
Porcellanidae_Zoea_II,Porcellanidae_Zoea,Porcellanidae_Larvae,Decapods,Decapods,Nearshore,Non-gelatinous,Crustacean,,Crustacean
Pseudocalanus,Pseudocalanus,Pseudocalanus,Calanoids_Small,Calanoids_Small,Pelagic,Non-gelatinous,Crustacean,,Crustacean
Pteropoda,Pteropoda,Gastropoda,Gastropods,Other,Pelagic,Gelatinous,NVM,,Gelatinous
Pteropoda_Veliger,Mollusca_Veliger,Gastropoda,Gastropods,Other,Pelagic,Gelatinous,NVM,,Gelatinous
Rock_Object,Objects,Objects,Detritus,Other,Nearshore,Non-gelatinous,NVM,,Other
Sagittoidea,Sagittoidea,Chaetognatha,Chaetognath,Chaetognath,Pelagic,Gelatinous,NVM,,Gelatinous
Sarsamphiascus,Harpacticoida,Harpacticoids,Harpacticoids,Copepods_Other,Nearshore,Non-gelatinous,Crustacean,,Crustacean
Senticaudata,Senticaudata,Gammarida,Amphipods,Other,Nearshore,Non-gelatinous,Crustacean,,Crustacean
Siphonophorae,Siphonophorae,Siphonophore,Gelatinous,Gelatinous,Pelagic,Gelatinous,Gelatinous,,Gelatinous
Spionidae_Nectochaete,Spionidae_Nectochaete,Polychaeta,Polychaetes,Other,Nearshore,Non-gelatinous,NVM,,Other
Themisto_pacifica,Themisto_pacifica,Themisto_pacifica,Amphipods,Other,Pelagic,Non-gelatinous,Crustacean,,Crustacean
Thysanoessa,Thysanoessa,Thysanoessa,Euphausiids,Euphausiids,Pelagic,Non-gelatinous,Crustacean,,Crustacean
Thysanoessa_inermis,Thysanoessa_inermis,Thysanoessa,Euphausiids,Euphausiids,Pelagic,Non-gelatinous,Crustacean,,Crustacean
Thysanoessa_raschii,Thysanoessa,Thysanoessa,Euphausiids,Euphausiids,Pelagic,Non-gelatinous,Crustacean,,Crustacean
Thysanoessa_spinifera,Thysanoessa_spinifera,Thysanoessa,Euphausiids,Euphausiids,Pelagic,Non-gelatinous,Crustacean,,Crustacean
Tisbe,Harpacticoida,Harpacticoids,Harpacticoids,Copepods_Other,Nearshore,Non-gelatinous,Crustacean,,Crustacean
Tomopteris,Tomopteris,Polychaeta,Polychaetes,Other,Pelagic,Gelatinous,NVM,,Other
Tortanus_discaudatus,Tortanus_discaudatus,Tortanus,Calanoids_Small,Calanoids_Small,Pelagic,Non-gelatinous,Crustacean,,Crustacean
Trematoda_Parasite,Parasites,Parasite,Parasite,Other,Other,Non-gelatinous,NVM,,Other
Triconia_conifera,Cyclopoida,Oncaeidae,Cyclopoids,Copepods_Other,Pelagic,Non-gelatinous,Crustacean,,Crustacean
,,,,,,,use phylum,,
